Revised Product Name,Product category,Sub category,MRP,VAT,Maalgaadi Cost price,Maalgaadi Price,Customer Discount,Customer Discount %,Description
PASEO COCKTAIL NAPACK OF IN 100'S,Household Essentials,Miscellaneous,75,12.5,68.19,73,2,3%,"Buy PASEO COCKTAIL NAPACK OF IN 100'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PASEO FACIAL BOX 100'SX1 ALOEVERA,Household Essentials,Miscellaneous,145,12.5,118.63,139,6,4%,"Buy PASEO FACIAL BOX 100'SX1 ALOEVERA, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PASEO HANKY 10'SX6 ALOEVERA,Household Essentials,Miscellaneous,72,12.5,65.45,70,2,3%,"Buy PASEO HANKY 10'SX6 ALOEVERA, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PASEO K.TOWEL 70'SX2 PRINTED,Household Essentials,Miscellaneous,200,12.5,181.82,196,4,2%,"Buy PASEO K.TOWEL 70'SX2 PRINTED, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PASEO TOILET RL 200'SX1 DECO EMB,Household Essentials,Miscellaneous,36,12.5,29.45,34,2,6%,"Buy PASEO TOILET RL 200'SX1 DECO EMB, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PASEO TOILET RL 200'SX10 DECO EMB,Household Essentials,Miscellaneous,365,12.5,331.82,356,9,2%,"Buy PASEO TOILET RL 200'SX10 DECO EMB, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PREMIER KITCHEN TISSUE 4 IN 1,Household Essentials,Miscellaneous,200,12.5,173.91,194,6,3%,"Buy PREMIER KITCHEN TISSUE 4 IN 1, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
PREMIER SPECIAL FACE TISSUE BOX,Household Essentials,Miscellaneous,60,12.5,48,57,3,5%,"Buy PREMIER SPECIAL FACE TISSUE BOX, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
SO SOFT CREPE TSU 2PLY 12X12 PACK OF 4,Household Essentials,Miscellaneous,200,12.5,153.84,185,15,8%,"Buy SO SOFT CREPE TSU 2PLY 12X12 PACK OF 4, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
SO SOFT FACE TISSUE BOX 100 PULLS PR,Household Essentials,Miscellaneous,60,12.5,57.69,59.5,0.5,1%,"Buy SO SOFT FACE TISSUE BOX 100 PULLS PR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
SO SOFT TISSUE BOX 200 PULLS,Household Essentials,Miscellaneous,95,12.5,73.08,90,5,5%,"Buy SO SOFT TISSUE BOX 200 PULLS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
SO SOFT TISSUE ROLL 10 IN 1 100G 3PLY,Household Essentials,Miscellaneous,280,12.5,215.38,265,15,5%,"Buy SO SOFT TISSUE ROLL 10 IN 1 100G 3PLY, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
SO SOFT TISSUE ROLL 4 IN 1 3PLY 200'S,Household Essentials,Miscellaneous,216,12.5,166.15,201,15,7%,"Buy SO SOFT TISSUE ROLL 4 IN 1 3PLY 200'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
SUPERWRAP 30 GM,Household Essentials,Miscellaneous,55,5,47.82,53,2,4%,"Buy SUPERWRAP 30 GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
WHITE PAPER CUPS 150ML 100'S,Household Essentials,Miscellaneous,110,5,84.62,105,5,5%,"Buy WHITE PAPER CUPS 150ML 100'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ZIPOUCH ASSORTED SNACK PACK,Household Essentials,Miscellaneous,50,5,40.01,48,2,4%,"Buy ZIPOUCH ASSORTED SNACK PACK, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ZIPOUCH PNL MEDIUM 10'S,Household Essentials,Miscellaneous,70,5,56,67,3,4%,"Buy ZIPOUCH PNL MEDIUM 10'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ZIPOUCH PNL SMALL 5'S,Household Essentials,Miscellaneous,31,5,24.8,30,1,3%,"Buy ZIPOUCH PNL SMALL 5'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ZIPOUCH SNACK PACK,Household Essentials,Miscellaneous,50,5,40.01,48,2,4%,"Buy ZIPOUCH SNACK PACK, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ZIPWRAP CLING ST WRAP 100MT,Household Essentials,Miscellaneous,200,5,153.85,185,15,8%,"Buy ZIPWRAP CLING ST WRAP 100MT, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ZIPWRAP CLING ST WRAP 30 MT,Household Essentials,Miscellaneous,85,5,62.96,80,5,6%,"Buy ZIPWRAP CLING ST WRAP 30 MT, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALL OUT 45 NIGHT REFILL,Household Essentials,Repellents & Insectisides,54,5,48.21,53,1,2%,"Buy ALL OUT 45 NIGHT REFILL, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALL OUT 90 NIGHT REFILL BUY 2 GET1 FREE,Household Essentials,Repellents & Insectisides,198,5,180,194,4,2%,"Buy ALL OUT 90 NIGHT REFILL BUY 2 GET1 FREE, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALL OUT POWER SLIDER BUY 2 GET 1,Household Essentials,Repellents & Insectisides,120,5,114.28,119,1,1%,"Buy ALL OUT POWER SLIDER BUY 2 GET 1, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALL OUT TOTAL 45 NIGHTS,Household Essentials,Repellents & Insectisides,56,5,50.9,55,1,2%,"Buy ALL OUT TOTAL 45 NIGHTS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALL OUT TOTAL COMBI 45 NIGHT,Household Essentials,Repellents & Insectisides,78,5,70.91,76,2,3%,"Buy ALL OUT TOTAL COMBI 45 NIGHT, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALL OUT TOTAL F&M 45 NIGHTS,Household Essentials,Repellents & Insectisides,56,5,50.9,55,1,2%,"Buy ALL OUT TOTAL F&M 45 NIGHTS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALL OUT ULTRA REFILL,Household Essentials,Repellents & Insectisides,59,5,53.63,58,1,2%,"Buy ALL OUT ULTRA REFILL, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALLOUT POWER SLIDER + REFILL 45 Nights,Household Essentials,Repellents & Insectisides,99,5,90,97,2,2%,"Buy ALLOUT POWER SLIDER + REFILL 45 Nights, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALLOUT POWER SLIDER REFILL,Household Essentials,Repellents & Insectisides,60,5,54.55,59,1,2%,"Buy ALLOUT POWER SLIDER REFILL, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
BAYGON ALL OUT CIK 320+105ML,Household Essentials,Repellents & Insectisides,149,5,135.45,146,3,2%,"Buy BAYGON ALL OUT CIK 320+105ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GOOD KNIGHT ADVANCE ACTIVE REFILL 45ML,Household Essentials,Repellents & Insectisides,59,5,53.64,58,1,2%,"Buy GOOD KNIGHT ADVANCE ACTIVE REFILL 45ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GOOD KNIGHT MOSQUITO REPELLENT CREAM 50G,Household Essentials,Repellents & Insectisides,36,5,32.73,35.5,0.5,1%,"Buy GOOD KNIGHT MOSQUITO REPELLENT CREAM 50G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GOOD KNIGHT ADVANCE ACTIVE+SYSTEM COMBO,Household Essentials,Repellents & Insectisides,99,5,90,97,2,2%,"Buy GOOD KNIGHT ADVANCE ACTIVE+SYSTEM COMBO, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GOODKNIGHT LIQUID REFILL 60 NIGHTS,Household Essentials,Repellents & Insectisides,66,5,60,65,1,2%,"Buy GOODKNIGHT LIQUID REFILL 60 NIGHTS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GOOD KNIGHT MATS 30'S,Household Essentials,Repellents & Insectisides,50,5,45.45,49,1,2%,"Buy GOOD KNIGHT MATS 30'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GOOD KNIGHT TURBO LIQUID REFILL 90 NIGHTS,Household Essentials,Repellents & Insectisides,90,5,81.82,88,2,2%,"Buy GOOD KNIGHT TURBO LIQUID REFILL 90 NIGHTS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GOODNIGHT ADVANCE CARTRIDGE 33% LGR,Household Essentials,Repellents & Insectisides,72,5,65.46,70,2,3%,"Buy GOODNIGHT ADVANCE CARTRIDGE 33% LGR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HIT ANTI ROACH GEL,Household Essentials,Repellents & Insectisides,125,5,113.64,122,3,2%,"Buy HIT ANTI ROACH GEL, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HIT CHAMPION MOSQUITO 225ML,Household Essentials,Repellents & Insectisides,84,5,76.37,82,2,2%,"Buy HIT CHAMPION MOSQUITO 225ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HIT CHAMPION SEEK N KILL 225ML,Household Essentials,Repellents & Insectisides,84,5,76.37,82,2,2%,"Buy HIT CHAMPION SEEK N KILL 225ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HIT CIK 150ML,Household Essentials,Repellents & Insectisides,54,5,44.93,52,2,4%,"Buy HIT CIK 150ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HIT COCKROACH SEEK N KILL 320 ML,Household Essentials,Repellents & Insectisides,129,5,117.27,126,3,2%,"Buy HIT COCKROACH SEEK N KILL 320 ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
KHATNIL 250ML,Household Essentials,Repellents & Insectisides,90,5,80.36,88,2,2%,"Buy KHATNIL 250ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
KHATNIL 500ML,Household Essentials,Repellents & Insectisides,159,5,132.5,153,6,4%,"Buy KHATNIL 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
KHATNIL K-20 250ML,Household Essentials,Repellents & Insectisides,99,5,82.5,95,4,4%,"Buy KHATNIL K-20 250ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
KOCKROACH 30'S TAB,Household Essentials,Repellents & Insectisides,40,5,30,37,3,8%,"Buy KOCKROACH 30'S TAB, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN AIK 625ML+ HARPIC 500ML,Household Essentials,Repellents & Insectisides,225,5,204.55,220,5,2%,"Buy MORTEIN AIK 625ML+ HARPIC 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN COIL DEEP REACH GREEN,Household Essentials,Repellents & Insectisides,23,5,20.91,22.5,0.5,2%,"Buy MORTEIN COIL DEEP REACH GREEN, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN NATURGARD 45N REFILL,Household Essentials,Repellents & Insectisides,54,12.5,48.44,53,1,2%,"Buy MORTEIN NATURGARD 45N REFILL, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN NATURGARD COIL 12H,Household Essentials,Repellents & Insectisides,31,5,28.18,30.5,0.5,2%,"Buy MORTEIN NATURGARD COIL 12H, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN NATURGARD FLYING INSECT KILLER 625ML,Household Essentials,Repellents & Insectisides,225,5,204.55,220,5,2%,"Buy MORTEIN NATURGARD FLYING INSECT KILLER 625ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN NATURGARD FLYING INSECT KILLER 625ML+HARPIC 500ML,Household Essentials,Repellents & Insectisides,249,5,226.36,244,5,2%,"Buy MORTEIN NATURGARD FLYING INSECT KILLER 625ML+HARPIC 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN NATURGARD MOSQUITO KILL 425ML,Household Essentials,Repellents & Insectisides,169,5,153.64,166,3,2%,"Buy MORTEIN NATURGARD MOSQUITO KILL 425ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN NATURGARD REFILL 45Nx2+ HARPIC 500ML,Household Essentials,Repellents & Insectisides,118,5,107.27,115,3,3%,"Buy MORTEIN NATURGARD REFILL 45Nx2+ HARPIC 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN POWER BOOSTER COIL 12 HOURS,Household Essentials,Repellents & Insectisides,29,5,25.89,28.5,0.5,2%,"Buy MORTEIN POWER BOOSTER COIL 12 HOURS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN POWER GARD REFILL 60N,Household Essentials,Repellents & Insectisides,66,5,60,65,1,2%,"Buy MORTEIN POWER GARD REFILL 60N, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN POWER GARD REFILL 45N,Household Essentials,Repellents & Insectisides,56,5,50.9,55,1,2%,"Buy MORTEIN POWER GARD REFILL 45N, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN POWERGARD REFILL  45Nx2+HARPIC 500ML,Household Essentials,Repellents & Insectisides,112,5,101.82,109,3,3%,"Buy MORTEIN POWERGARD REFILL  45Nx2+HARPIC 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTIEN POWERGARD COIL RED 10HR,Household Essentials,Repellents & Insectisides,27,12.5,24.55,26.5,0.5,2%,"Buy MORTIEN POWERGARD COIL RED 10HR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTIEN POWERGARD 45N+EVERYDAY BATTERY FR,Household Essentials,Repellents & Insectisides,54,12.5,49.1,53,1,2%,"Buy MORTIEN POWERGARD 45N+EVERYDAY BATTERY FR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN POWERGARD 60N+2 EVERYDAY BATTERY FR,Household Essentials,Repellents & Insectisides,66,5,60,65,1,2%,"Buy MORTEIN POWERGARD 60N+2 EVERYDAY BATTERY FR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN POWERGARD ALL INSECT KILLER 320 ML,Household Essentials,Repellents & Insectisides,139,5,126.37,136,3,2%,"Buy MORTEIN POWERGARD ALL INSECT KILLER 320 ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN POWERGARD ALL INSECT KILLER 425ML,Household Essentials,Repellents & Insectisides,160,5,142.85,156,4,3%,"Buy MORTEIN POWERGARD ALL INSECT KILLER 425ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MORTEIN POWERGARD RATKILL 100G,Household Essentials,Repellents & Insectisides,32,5,29.1,31.5,0.5,2%,"Buy MORTEIN POWERGARD RATKILL 100G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ODOMOS CREAM WITH VITAMIN-E 50G,Household Essentials,Repellents & Insectisides,39,12.5,35.46,38.5,0.5,1%,"Buy ODOMOS CREAM WITH VITAMIN-E 50G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ODOMOS NATURAL MOSQUITO REPELLENT CREAM 50G,Household Essentials,Repellents & Insectisides,42,12.5,38.18,41.5,0.5,1%,"Buy ODOMOS NATURAL MOSQUITO REPELLENT CREAM 50G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AER SPRAY COOL SURF BLUE 300ML,Household Essentials,Room Freshners/ Toilet Freshners,120,12.5,95.65,115,5,4%,"Buy AER SPRAY COOL SURF BLUE 300ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AER SPRAY FRESH LUSH GREEN 300ML,Household Essentials,Room Freshners/ Toilet Freshners,120,12.5,104.34,117,3,3%,"Buy AER SPRAY FRESH LUSH GREEN 300ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AER SPRAY PETAL CRUSH PINK 300ML,Household Essentials,Room Freshners/ Toilet Freshners,120,12.5,95.65,115,5,4%,"Buy AER SPRAY PETAL CRUSH PINK 300ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIR WICK ELECTRIC LAVENDER DEW REFILL,Household Essentials,Room Freshners/ Toilet Freshners,105,12.5,94.29,102,3,3%,"Buy AIR WICK ELECTRIC LAVENDER DEW REFILL, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIRWICK AEROSOL AQUA 300ML,Household Essentials,Room Freshners/ Toilet Freshners,115,12.5,104.55,112,3,3%,"Buy AIRWICK AEROSOL AQUA 300ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIRWICK AEROSOL LAVENDER 300ML,Household Essentials,Room Freshners/ Toilet Freshners,115,12.5,104.55,112,3,3%,"Buy AIRWICK AEROSOL LAVENDER 300ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIRWICK AEROSOL LEMON GRDN 300ML,Household Essentials,Room Freshners/ Toilet Freshners,115,12.5,104.55,112,3,3%,"Buy AIRWICK AEROSOL LEMON GRDN 300ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIRWICK AEROSOL MYSTIC SANDAL 300ML,Household Essentials,Room Freshners/ Toilet Freshners,115,12.5,104.55,112,3,3%,"Buy AIRWICK AEROSOL MYSTIC SANDAL 300ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIRWICK AEROSOL VELVET ROSE 300ML,Household Essentials,Room Freshners/ Toilet Freshners,115,12.5,104.55,112,3,3%,"Buy AIRWICK AEROSOL VELVET ROSE 300ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIRWICK AQUA MIST FRESH JASMINE,Household Essentials,Room Freshners/ Toilet Freshners,129,12.5,113.15,126,3,2%,"Buy AIRWICK AQUA MIST FRESH JASMINE, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIR WICK AQUA MIST WILD LAVENDER,Household Essentials,Room Freshners/ Toilet Freshners,129,12.5,113.15,126,3,2%,"Buy AIR WICK AQUA MIST WILD LAVENDER, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIRWICK FRESHMATIC COMPL LAVENDER DEW,Household Essentials,Room Freshners/ Toilet Freshners,449,12.5,408.18,440,9,2%,"Buy AIRWICK FRESHMATIC COMPL LAVENDER DEW, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIRWICK FRESHMATIC REFILL LAVENDER DEW,Household Essentials,Room Freshners/ Toilet Freshners,249,12.5,226.36,244,5,2%,"Buy AIRWICK FRESHMATIC REFILL LAVENDER DEW, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
AIRWICK FRESHMATIC REFILL VELVET ROSE,Household Essentials,Room Freshners/ Toilet Freshners,249,12.5,226.36,244,5,2%,"Buy AIRWICK FRESHMATIC REFILL VELVET ROSE, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO AGARBATTI 3 IN 1 100 STICKS,Household Essentials,Room Freshners/ Toilet Freshners,50,0,39,47,3,6%,"Buy ARO AGARBATTI 3 IN 1 100 STICKS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO AGARBATTI 3 IN 1 20 STICKS,Household Essentials,Room Freshners/ Toilet Freshners,15,0,12.5,14.5,0.5,3%,"Buy ARO AGARBATTI 3 IN 1 20 STICKS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO AGARBATTI JASMINE 20 STICKS,Household Essentials,Room Freshners/ Toilet Freshners,15,0,12.5,14.5,0.5,3%,"Buy ARO AGARBATTI JASMINE 20 STICKS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO AGARBATTI LAVENDER 20 STICKS,Household Essentials,Room Freshners/ Toilet Freshners,15,0,12.5,14.5,0.5,3%,"Buy ARO AGARBATTI LAVENDER 20 STICKS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO AGARBATTI ROSE 20 STICKS,Household Essentials,Room Freshners/ Toilet Freshners,15,0,12.5,14.5,0.5,3%,"Buy ARO AGARBATTI ROSE 20 STICKS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO AGARBATTI SANDAL 20 STICKS,Household Essentials,Room Freshners/ Toilet Freshners,15,0,12.5,14.5,0.5,3%,"Buy ARO AGARBATTI SANDAL 20 STICKS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO ECONOMY AGARBATTI 70 STICKS,Household Essentials,Room Freshners/ Toilet Freshners,15,0,13,14.5,0.5,3%,"Buy ARO ECONOMY AGARBATTI 70 STICKS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO NAPHTHALENE BALLS 1KG,Household Essentials,Room Freshners/ Toilet Freshners,170,12.5,149,160,10,6%,"Buy ARO NAPHTHALENE BALLS 1KG, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO NAPHTHALENE BALLS 400GMS,Household Essentials,Room Freshners/ Toilet Freshners,75,12.5,68,73,2,3%,"Buy ARO NAPHTHALENE BALLS 400GMS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO ROOM FRESHNER JASMINE 500ML,Household Essentials,Room Freshners/ Toilet Freshners,160,12.5,119,145,15,9%,"Buy ARO ROOM FRESHNER JASMINE 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO ROOM FRESHNER JASMINE 50G 2+1,Household Essentials,Room Freshners/ Toilet Freshners,60,12.5,54,58,2,3%,"Buy ARO ROOM FRESHNER JASMINE 50G 2+1, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO ROOM FRESHNER LAVENDER 500ML,Household Essentials,Room Freshners/ Toilet Freshners,160,12.5,119,145,15,9%,"Buy ARO ROOM FRESHNER LAVENDER 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO ROOM FRESHNER LAVENDER 50G 2+1,Household Essentials,Room Freshners/ Toilet Freshners,60,12.5,54,58,2,3%,"Buy ARO ROOM FRESHNER LAVENDER 50G 2+1, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO ROOM FRESHNER ROSE 500ML,Household Essentials,Room Freshners/ Toilet Freshners,160,12.5,119,145,15,9%,"Buy ARO ROOM FRESHNER ROSE 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO ROOM FRESHNER ROSE 50G 2+1,Household Essentials,Room Freshners/ Toilet Freshners,60,12.5,54,58,2,3%,"Buy ARO ROOM FRESHNER ROSE 50G 2+1, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO ROOM FRESHNER SANDAL 500ML,Household Essentials,Room Freshners/ Toilet Freshners,160,12.5,119,145,15,9%,"Buy ARO ROOM FRESHNER SANDAL 500ML, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO ROOM FRESHNER SANDAL 50G 2+1,Household Essentials,Room Freshners/ Toilet Freshners,60,12.5,54,58,2,3%,"Buy ARO ROOM FRESHNER SANDAL 50G 2+1, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ARO SOLID FRESHNER 75G BUY 1GET 1,Household Essentials,Room Freshners/ Toilet Freshners,45,12.5,44,45,0,0%,"Buy ARO SOLID FRESHNER 75G BUY 1GET 1, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CYCLE AGARBATTI 3 IN 1,Household Essentials,Room Freshners/ Toilet Freshners,25,0,22.73,24.5,0.5,2%,"Buy CYCLE AGARBATTI 3 IN 1, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CYCLE AGARBATTI ECONOMY 3 IN 1,Household Essentials,Room Freshners/ Toilet Freshners,65,0,59.09,64,1,2%,"Buy CYCLE AGARBATTI ECONOMY 3 IN 1, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CYCLE AGARBATTI RHYTHM ORIENT,Household Essentials,Room Freshners/ Toilet Freshners,40,0,36.36,39.5,0.5,1%,"Buy CYCLE AGARBATTI RHYTHM ORIENT, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CYCLE BANSURI AGARBATTI,Household Essentials,Room Freshners/ Toilet Freshners,50,0,45.45,49,1,2%,"Buy CYCLE BANSURI AGARBATTI, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CYCLE SANDALUM LARGE AGARBATTI,Household Essentials,Room Freshners/ Toilet Freshners,60,0,54.55,59,1,2%,"Buy CYCLE SANDALUM LARGE AGARBATTI, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CYCLE YAGNA AGARBATHI,Household Essentials,Room Freshners/ Toilet Freshners,100,0,90.91,98,2,2%,"Buy CYCLE YAGNA AGARBATHI, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GLADE TOUCH & FRESH LAVENDER,Household Essentials,Room Freshners/ Toilet Freshners,90,12.5,81.82,88,2,2%,"Buy GLADE TOUCH & FRESH LAVENDER, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
GLADE TOUCH & FRESH LEMON,Household Essentials,Room Freshners/ Toilet Freshners,90,12.5,81.82,88,2,2%,"Buy GLADE TOUCH & FRESH LEMON, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
