Revised Product Name,Product category,Sub category,MRP,VAT,Maalgaadi Cost price,Maalgaadi Price,Customer Discount,Customer Discount %,Description
PARLE POPPINS ROLL 16.2G PACK OF 50+2,Confectionery,Candy,100,12.5,95.24,99,1,1%,"Buy PARLE POPPINS ROLL 16.2G PACK OF 50+2, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
SOUR MARBLES 330G,Confectionery,Candy,120,12.5,106,117,3,3%,"Buy SOUR MARBLES 330G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
STOPNOT GOLZ KHATI MEETHI 45G,Confectionery,Candy,10,12.5,9,10,0,0%,"Buy STOPNOT GOLZ KHATI MEETHI 45G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
STOPNOT GOLZ PEPPY TOMATO 18GM PACK OF 12,Confectionery,Candy,60,12.5,54.01,59,1,2%,"Buy STOPNOT GOLZ PEPPY TOMATO 18GM PACK OF 12, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
STOPNOT GOLZ SPICY SOUTH MDM 45G,Confectionery,Candy,10,12.5,9,10,0,0%,"Buy STOPNOT GOLZ SPICY SOUTH MDM 45G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
BOOMER STRAWBERRY GUM 600 G,Confectionery,Chewing Gum,150,12.5,130.43,145,5,3%,"Buy BOOMER STRAWBERRY GUM 600 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CENTER FRESH GUM JAR 555 G,Confectionery,Chewing Gum,150,12.5,134.28,147,3,2%,"Buy CENTER FRESH GUM JAR 555 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CENTER FRESH OCEAN JAR 510GM,Confectionery,Chewing Gum,150,12.5,132.74,146,4,3%,"Buy CENTER FRESH OCEAN JAR 510GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAPPYDENT WAVE BLISTER 184G,Confectionery,Chewing Gum,100,12.5,88,97,3,3%,"Buy HAPPYDENT WAVE BLISTER 184G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAPPYDENT WHITE 150 (BIPACK) JAR,Confectionery,Chewing Gum,150,5,133,146,4,3%,"Buy HAPPYDENT WHITE 150 (BIPACK) JAR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAPPYDENT WHITE BLISTER 158 G,Confectionery,Chewing Gum,120,5,106,117,3,3%,"Buy HAPPYDENT WHITE BLISTER 158 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
